"Names","Email","SID","Sections","Lab 1","Lab 1 - Max Points","Lab 1 - Submission Time","Lab 1 - Lateness (H:M:S)","Lab 2","Lab 2 - Max Points","Lab 2 - Submission Time","Lab 2 - Lateness (H:M:S)","Lab 3","Lab 3 - Max Points","Lab 3 - Submission Time","Lab 3 - Lateness (H:M:S)","Lab 4","Lab 4 - Max Points","Lab 4 - Submission Time","Lab 4 - Lateness (H:M:S)","Lab 5","Lab 5 - Max Points","Lab 5 - Submission Time","Lab 5 - Lateness (H:M:S)","Lab 6","Lab 6 - Max Points","Lab 6 - Submission Time","Lab 6 - Lateness (H:M:S)","Discussion 1","Discussion 1 - Max Points","Discussion 1 - Submission Time","Discussion 1 - Lateness (H:M:S)","Discussion 2","Discussion 2 - Max Points","Discussion 2 - Submission Time","Discussion 2 - Lateness (H:M:S)","Midterm","Midterm - Max Points","Midterm - Submission Time","Midterm - Lateness (H:M:S)","Final","Final - Max Points","Final - Submission Time","Final - Lateness (H:M:S)"
"Dr. Kadin","Dr.Kadin@berkeley.edu",3032412514,"fake-class-2023",9,10,"1/19/23 22:20",00:00:00,5,20,"9/21/22 23:54",47:55:53,7,15,"1/24/23 20:38",00:00:00,9,10,"1/26/23 19:51",00:00:00,0,5,"1/31/23 18:59",00:00:00,4,10,"2/2/23 12:16",00:00:00,4,4,"2/7/23 20:53",00:00:00,4,4,"2/10/23 0:49",00:50:32,44,50,"2/14/23 21:06",00:00:00,10,100,"1/20/23 15:13",00:00:00
"Bartley Toy","BartleyToy@berkeley.edu",3032412515,"fake-class-2023",5,10,"1/19/23 12:16",00:00:00,20,20,"9/19/22 23:32",00:00:00,1,15,"1/24/23 16:18",00:00:00,5,10,"1/26/23 8:54",00:00:00,1,5,"1/31/23 13:04",00:00:00,0,10,"2/2/23 12:12",00:00:00,4,4,"2/7/23 19:17",00:00:00,4,4,"2/9/23 11:48",00:00:00,0,50,"2/14/23 18:25",00:00:00,78,100,"1/20/23 10:04",00:00:00
"Dr. Dontae","Dr.Dontae@berkeley.edu",3032412516,"fake-class-2023",10,10,"1/19/23 10:26",00:00:00,12,20,"9/19/22 23:44",00:00:00,15,15,"1/24/23 16:10",00:00:00,8,10,"1/26/23 10:12",00:00:00,3,5,"1/31/23 16:01",00:00:00,6,10,"2/2/23 10:13",00:00:00,4,4,"2/6/23 22:05",00:00:00,3,4,"2/9/23 10:43",00:00:00,17,50,"2/14/23 18:00",00:00:00,24,100,"1/23/23 8:22",00:00:00
"Narcissus Considine","NarcissusConsidine@berkeley.edu",3032412517,"fake-class-2023",10,10,"1/20/23 8:12",00:00:00,1,20,"9/13/22 20:29",00:00:00,8,15,"1/25/23 8:56",08:57:32,6,10,"1/26/23 17:27",00:00:00,1,5,"1/31/23 14:57",00:00:00,10,10,"2/2/23 16:43",00:00:00,3,4,"2/8/23 8:22",08:23:06,4,4,"2/9/23 17:05",00:00:00,15,50,"2/14/23 20:00",00:00:00,89,100,"1/24/23 0:50",00:00:00
"Verne Wilderman","VerneWilderman@berkeley.edu",3032412518,"fake-class-2023",8,10,"1/19/23 12:06",00:00:00,10,20,"9/19/22 0:15",00:00:00,9,15,"1/25/23 14:58",14:59:55,1,10,"1/27/23 14:09",14:10:40,4,5,"1/31/23 15:44",00:00:00,0,10,"2/2/23 22:27",00:00:00,4,4,"2/8/23 1:05",01:06:36,3,4,"2/10/23 14:21",14:22:13,8,50,"2/15/23 13:51",00:52:01,97,100,"1/20/23 15:53",00:00:00
"Toivo Witting","ToivoWitting@berkeley.edu",3032412519,"fake-class-2023",9,10,"1/19/23 17:17",00:00:00,2,20,"9/19/22 22:37",00:00:00,9,15,"1/24/23 18:08",00:00:00,10,10,"1/26/23 21:51",00:00:00,5,5,"1/31/23 23:03",00:00:00,1,10,"2/2/23 19:18",00:00:00,4,4,"2/7/23 18:35",00:00:00,4,4,"2/9/23 22:56",00:00:00,31,50,"2/15/23 11:55",00:00:00,51,100,"1/21/23 18:07",00:00:00
"Tegan Crooks","TeganCrooks@berkeley.edu",3032412520,"fake-class-2023",8,10,"1/20/23 11:24",11:25:51,11,20,"9/19/22 23:59",00:00:17,7,15,"1/24/23 22:23",00:00:00,10,10,"1/26/23 23:12",00:00:00,4,5,"1/30/23 22:52",00:00:00,4,10,"2/2/23 19:04",00:00:00,4,4,"2/8/23 0:33",00:34:58,3,4,"2/10/23 0:29",00:30:20,29,50,"2/15/23 11:00",00:00:00,58,100,"1/24/23 9:02",00:00:00
"Tyrus Cremin-Wisozk","TyrusCremin-Wisozk@berkeley.edu",3032412521,"fake-class-2023",2,10,"1/19/23 11:46",00:00:00,20,20,"9/14/22 15:39",00:00:00,9,15,"1/24/23 16:44",00:00:00,3,10,"1/26/23 2:24",00:00:00,5,5,"1/31/23 18:47",00:00:00,10,10,"2/2/23 1:53",00:00:00,4,4,"2/7/23 18:36",00:00:00,4,4,"2/9/23 17:25",00:00:00,4,50,"2/14/23 19:48",00:00:00,80,100,"1/20/23 13:27",00:00:00
"Sydni Hansen","SydniHansen@berkeley.edu",3032412522,"fake-class-2023",8,10,"1/18/23 23:48",00:00:00,3,20,"9/19/22 23:51",00:00:00,14,15,"1/24/23 18:23",00:00:00,9,10,"1/26/23 19:30",00:00:00,5,5,"1/31/23 23:10",00:00:00,3,10,"2/3/23 12:23",12:24:26,0,4,"2/7/23 23:25",00:00:00,4,4,"2/9/23 23:07",00:00:00,4,50,"2/14/23 19:01",00:00:00,83,100,"1/23/23 10:49",00:00:00
"Mrs. Chelsie","Mrs.Chelsie@berkeley.edu",3032412523,"fake-class-2023",5,10,"1/20/23 0:33",00:34:45,19,20,"9/19/22 16:10",00:00:00,15,15,"1/25/23 13:11",13:12:53,2,10,"1/26/23 14:37",00:00:00,4,5,"2/1/23 9:30",09:31:21,10,10,"2/2/23 21:08",00:00:00,3,4,"2/7/23 20:23",00:00:00,4,4,"2/9/23 21:07",00:00:00,47,50,"2/14/23 15:19",00:00:00,53,100,"1/20/23 14:56",00:00:00
